fighter,odds,ev,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,finish_rate,decision_rate,win_rate,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUATT
Donny Walker,155.0,155.0,1,0,0,,,,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.0,135,31,0.0,0.0,0.0,31.0,0.37,2.0
Donte Johnson,-900.0,11.1111,0,2,0,3.11,0.48,0.7,2.0,1.0,2,0,3,0,0,0,0,1,1,0,2,Southpaw,172.72,187.96,185,27,1.0,0.0,1.0,,,
Dooho Choi,190.0,190.0,3,0,1,4.41,0.53,0.8,0.75,0.37,3,3,13,0,0,0,0,3,0,0,3,Orthodox,177.8,177.8,145,33,1.0,0.0,0.5,,,
Douglas Silva de Andrade,194.0,194.0,1,0,0,3.54,0.38,0.2,0.54,0.42,2,6,34,0,0,0,4,2,1,0,7,Orthodox,170.18,172.72,145,40,0.42857142857142855,0.5714285714285714,0.5384615384615384,,,
Drakkar Klose,,,0,2,0,4.37,0.55,0.0,1.58,0.26,3,2,25,0,0,1,5,1,0,0,7,Orthodox,175.26,177.8,155,35,0.14285714285714285,0.8571428571428571,0.7777777777777778,,,
Drako Rodriguez,-110.0,90.9091,1,0,0,,,,2.93,0.66,1,1,2,0,0,0,0,0,1,0,1,Orthodox,172.72,175.26,135,25,1.0,0.0,0.5,3.37,0.36,0.7
Drew Dober,-200.0,50.0,0,1,0,4.48,0.41,0.1,0.61,0.16,3,11,54,0,0,0,3,11,1,0,15,Southpaw,172.72,177.8,155,37,0.8,0.2,0.5769230769230769,,,
Dricus Du Plessis,220.0,220.0,0,9,0,5.18,0.48,0.7,2.22,0.51,9,0,27,3,0,1,2,4,2,0,9,Switch,185.42,193.04,185,31,0.6666666666666666,0.3333333333333333,1.0,,,
Duane Ludwig,155.0,155.0,0,2,0,44.0,0.453,0.0,0.1667,0.083,2,2,12,0,0,1,2,1,0,0,4,Orthodox,177.8,177.8,170,33,0.25,0.75,0.6666666666666666,,,
Duda Santana,105.0,105.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,185.42,145,23,0.0,0.0,0.0,,0.39,
Dusko Todorovic,-177.0,56.4972,1,0,0,5.71,0.54,0.0,0.35,0.05,2,1,6,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,185,27,0.5,0.5,0.6666666666666666,,,
